,time,residual_norm,relative_error
0,0.02202256,3.32E-13,5.04E-14
1,0.044460642,7.00E-13,8.55E-14
2,0.210897117,4.51E-12,2.50E-13
3,1.042174969,2.74E-11,1.40E-12
