,time,residual_norm,relative_error
100,0.011905901432037354,8.802977941144849e-11,1.2655286488090893e-09
200,0.0459640634059906,4.4289286904818826e-10,6.486249468983677e-09
400,0.19451671600341797,1.891897572148655e-09,8.84863299595252e-09
800,0.9867444097995758,1.6325339054195197e-08,1.6675868196688292e-07
